Sample,Family ID,Population,Population Description,Gender,Relationship,Unexpected Parent/Child ,Non Paternity,Siblings,Grandparents,Avuncular,Half Siblings,Unknown Second Order,Third Order,Other Comments
HG00096,HG00096,GBR,British in England and Scotland,male,,,,,,,,,,
HG00097,HG00097,GBR,British in England and Scotland,female,,,,,,,,,,
HG00098,HG00098,GBR,British in England and Scotland,male,,,,,,,,,,
HG00099,HG00099,GBR,British in England and Scotland,female,,,,,,,,,,
HG00100,HG00100,GBR,British in England and Scotland,female,,,,,,,,,,
HG00101,HG00101,GBR,British in England and Scotland,male,,,,,,,,,,
HG00102,HG00102,GBR,British in England and Scotland,female,,,,,,,,,,
HG00103,HG00103,GBR,British in England and Scotland,male,,,,,,,,,,
HG00104,HG00104,GBR,British in England and Scotland,female,,,,,,,,,,
HG00105,HG00105,GBR,British in England and Scotland,male,,,,,,,,,,
HG00106,HG00106,GBR,British in England and Scotland,female,,,,,,,,,,
HG00107,HG00107,GBR,British in England and Scotland,male,,,,,,,,,,
HG00108,HG00108,GBR,British in England and Scotland,male,,,,,,,,,,
HG00109,HG00109,GBR,British in England and Scotland,male,,,,,,,,,,
HG00110,HG00110,GBR,British in England and Scotland,female,,,,,,,,,,
HG00111,HG00111,GBR,British in England and Scotland,female,,,,,,,,,,
HG00112,HG00112,GBR,British in England and Scotland,male,,,,,,,,,,
HG00113,HG00113,GBR,British in England and Scotland,male,,,,,,,,,,
HG00114,HG00114,GBR,British in England and Scotland,male,,,,,,,,,,
HG00115,HG00115,GBR,British in England and Scotland,male,,,,,,,,,,
HG00116,HG00116,GBR,British in England and Scotland,male,,,,,,,,,,
HG00117,HG00117,GBR,British in England and Scotland,male,,,,,,,,,,
HG00118,HG00118,GBR,British in England and Scotland,female,,,,,,,,,,
HG00119,HG00119,GBR,British in England and Scotland,male,,,,,,,,HG00124,,
HG00120,HG00120,GBR,British in England and Scotland,female,,,,,,,,,,
HG00121,HG00121,GBR,British in England and Scotland,female,,,,,,,,,,
HG00122,HG00122,GBR,British in England and Scotland,female,,,,,,,,,,
HG00123,HG00123,GBR,British in England and Scotland,female,,,,,,,,,,
HG00124,HG00124,GBR,British in England and Scotland,female,,,,,,,,HG00119,,
HG00125,HG00125,GBR,British in England and Scotland,female,,,,,,,,,,
HG00126,HG00126,GBR,British in England and Scotland,male,,,,,,,,,,
HG00127,HG00127,GBR,British in England and Scotland,female,,,,,,,,,,
HG00128,HG00128,GBR,British in England and Scotland,female,,,,,,,,,,
HG00129,HG00129,GBR,British in England and Scotland,male,,,,,,,,,,
HG00130,HG00130,GBR,British in England and Scotland,female,,,,,,,,,,
HG00131,HG00131,GBR,British in England and Scotland,male,,,,,,,,,,
HG00132,HG00132,GBR,British in England and Scotland,female,,,,,,,,,,
HG00133,HG00133,GBR,British in England and Scotland,female,,,,,,,,,,
HG00134,HG00134,GBR,British in England and Scotland,female,,,,,,,,,,
HG00135,HG00135,GBR,British in England and Scotland,female,,,,,,,,,,
HG00136,HG00136,GBR,British in England and Scotland,male,,,,,,,,,,
HG00137,HG00137,GBR,British in England and Scotland,female,,,,,,,,,,
HG00138,HG00138,GBR,British in England and Scotland,male,,,,,,,,,,
HG00139,HG00139,GBR,British in England and Scotland,male,,,,,,,,,,
HG00140,HG00140,GBR,British in England and Scotland,male,,,,,,,,,,
HG00141,HG00141,GBR,British in England and Scotland,male,,,,,,,,,,
HG00142,HG00142,GBR,British in England and Scotland,male,,,,,,,,,,
HG00143,HG00143,GBR,British in England and Scotland,male,,,,,,,,,,
HG00144,GBR001,GBR,British in England and Scotland,female,mother,HG00155,,,,,,,,
HG00145,HG00145,GBR,British in England and Scotland,male,,,,,,,,,,
HG00146,GBR002,GBR,British in England and Scotland,female,child,,,HG00147,,,,,,
HG00147,GBR002a,GBR,British in England and Scotland,female,child,,,HG00146,,,,,,
HG00148,HG00148,GBR,British in England and Scotland,male,,,,,,,,,,
HG00149,HG00149,GBR,British in England and Scotland,male,,,,,,,,,,
HG00150,HG00150,GBR,British in England and Scotland,female,,,,,,,,,,
HG00151,HG00151,GBR,British in England and Scotland,male,,,,,,,,,,
HG00152,HG00152,GBR,British in England and Scotland,male,,,,,,,,,,
HG00153,GBR003,GBR,British in England and Scotland,female,child,,,,,,,,,
HG00154,HG00154,GBR,British in England and Scotland,female,,,,,,,,,,
HG00155,GBR001,GBR,British in England and Scotland,male,Child,HG00144,,,,,,,,
HG00156,HG00156,GBR,British in England and Scotland,male,,,,,,,,,,
HG00157,HG00157,GBR,British in England and Scotland,male,,,,,,,,,,
HG00158,GBR003,GBR,British in England and Scotland,female,mother,HG00153,,,,,,,,
HG00159,HG00159,GBR,British in England and Scotland,male,,,,,,,,,,
HG00160,HG00160,GBR,British in England and Scotland,male,,,,,,,,,,
HG00171,HG00171,FIN,Finnish in Finland,female,,,,,,,,,,
HG00173,HG00173,FIN,Finnish in Finland,female,,,,,,,,,,
HG00174,HG00174,FIN,Finnish in Finland,female,,,,,,,,,,
HG00176,HG00176,FIN,Finnish in Finland,female,,,,,,,,,,
HG00177,HG00177,FIN,Finnish in Finland,female,,,,,,,,,,
HG00178,HG00178,FIN,Finnish in Finland,female,,,,,,,,,,
HG00179,HG00179,FIN,Finnish in Finland,female,,,,,,,,,,
HG00180,HG00180,FIN,Finnish in Finland,female,,,,,,,,,,
HG00181,HG00181,FIN,Finnish in Finland,male,,,,,,,,,,
HG00182,HG00182,FIN,Finnish in Finland,male,,,,,,,,,,
HG00183,HG00183,FIN,Finnish in Finland,male,,,,,,,,,,
HG00185,HG00185,FIN,Finnish in Finland,male,,,,,,,,,,
HG00186,HG00186,FIN,Finnish in Finland,male,,,,,,,,,,
HG00187,HG00187,FIN,Finnish in Finland,male,,,,,,,,,,
HG00188,HG00188,FIN,Finnish in Finland,male,,,,,,,,,,
HG00189,HG00189,FIN,Finnish in Finland,male,,,,,,,,,,
HG00190,HG00190,FIN,Finnish in Finland,male,,,,,,,,,,
HG00231,HG00231,GBR,British in England and Scotland,female,,,,,,,,,,
HG00232,HG00232,GBR,British in England and Scotland,female,,,,,,,,,,
HG00233,HG00233,GBR,British in England and Scotland,female,,,,,,,,,,
HG00234,HG00234,GBR,British in England and Scotland,male,,,,,,,,,,
HG00235,HG00235,GBR,British in England and Scotland,female,,,,,,,,,,
HG00236,HG00236,GBR,British in England and Scotland,female,,,,,,,,,,
HG00237,HG00237,GBR,British in England and Scotland,female,,,,,,,,,,
HG00238,HG00238,GBR,British in England and Scotland,female,,,,,,,,,,
HG00239,HG00239,GBR,British in England and Scotland,female,,,,,,,,,,
HG00240,HG00240,GBR,British in England and Scotland,female,,,,,,,,,,
HG00242,HG00242,GBR,British in England and Scotland,male,,,,,,,,,,
HG00243,HG00243,GBR,British in England and Scotland,male,,,,,,,,,,
HG00244,HG00244,GBR,British in England and Scotland,male,,,,,,,,,,
HG00245,HG00245,GBR,British in England and Scotland,female,,,,,,,,,,
HG00246,HG00246,GBR,British in England and Scotland,male,,,,,,,,,,
HG00247,GBR004,GBR,British in England and Scotland,female,mother,HG00248,,,,,,,,
HG00248,GBR004,GBR,British in England and Scotland,female,child,HG00247,,,,,,,,
HG00249,HG00249,GBR,British in England and Scotland,female,,,,,,,,,,
HG00250,HG00250,GBR,British in England and Scotland,female,,,,,,,,,,
HG00251,HG00251,GBR,British in England and Scotland,male,,,,,,,,,,
HG00252,HG00252,GBR,British in England and Scotland,male,,,,,,,,,,
HG00253,HG00253,GBR,British in England and Scotland,female,,,,,,,,,,
HG00254,HG00254,GBR,British in England and Scotland,female,,,,,,,,,,
HG00255,HG00255,GBR,British in England and Scotland,female,,,,,,,,,,
HG00256,HG00256,GBR,British in England and Scotland,male,,,,,,,,,,
HG00257,HG00257,GBR,British in England and Scotland,female,,,,,,,,,,
HG00258,HG00258,GBR,British in England and Scotland,female,,,,,,,,,,
HG00259,HG00259,GBR,British in England and Scotland,female,,,,,,,,,,
HG00260,HG00260,GBR,British in England and Scotland,male,,,,,,,,,,
HG00261,HG00261,GBR,British in England and Scotland,female,,,,,,,,,,
HG00262,HG00262,GBR,British in England and Scotland,female,,,,,,,,,,
HG00263,HG00263,GBR,British in England and Scotland,female,,,,,,,,,,
HG00264,HG00264,GBR,British in England and Scotland,male,,,,,,,,,,
HG00265,HG00265,GBR,British in England and Scotland,male,,,,,,,,,,
HG00266,HG00266,FIN,Finnish in Finland,female,,,,,,,,,,
HG00267,HG00267,FIN,Finnish in Finland,male,,,,,,,,,,
HG00268,HG00268,FIN,Finnish in Finland,female,,,,,,,,,,
HG00269,HG00269,FIN,Finnish in Finland,female,,,,,,,,,,
HG00270,HG00270,FIN,Finnish in Finland,female,,,,,,,,,,
HG00271,HG00271,FIN,Finnish in Finland,male,,,,,,,,,,
HG00272,HG00272,FIN,Finnish in Finland,female,,,,,,,,,,
HG00273,HG00273,FIN,Finnish in Finland,male,,,,,,,,,,
HG00274,HG00274,FIN,Finnish in Finland,female,,,,,,,,,,
HG00275,HG00275,FIN,Finnish in Finland,female,,,,,,,,,,
HG00276,HG00276,FIN,Finnish in Finland,female,,,,,,,,,,
HG00277,HG00277,FIN,Finnish in Finland,male,,,,,,,,,,
HG00278,HG00278,FIN,Finnish in Finland,male,,,,,,,,,,
HG00280,HG00280,FIN,Finnish in Finland,male,,,,,,,,,,
HG00281,HG00281,FIN,Finnish in Finland,female,,,,,,,,,,
HG00282,HG00282,FIN,Finnish in Finland,female,,,,,,,,,,
HG00284,HG00284,FIN,Finnish in Finland,male,,,,,,,,,,
HG00285,HG00285,FIN,Finnish in Finland,female,,,,,,,,,,
HG00288,HG00288,FIN,Finnish in Finland,female,unrel,,,,,,,,,
HG00290,HG00290,FIN,Finnish in Finland,male,unrel,,,,,,,,,
HG00302,HG00302,FIN,Finnish in Finland,female,unrel,,,,,,,,,
HG00303,HG00303,FIN,Finnish in Finland,male,unrel,,,,,,,,,
HG00304,HG00304,FIN,Finnish in Finland,female,unrel,,,,,,,,,
HG00306,HG00306,FIN,Finnish in Finland,female,,,,,,,,,,
HG00308,HG00308,FIN,Finnish in Finland,male,,,,,,,,,,
HG00309,HG00309,FIN,Finnish in Finland,female,,,,,,,,,,
HG00310,HG00310,FIN,Finnish in Finland,male,,,,,,,,,,
HG00311,HG00311,FIN,Finnish in Finland,male,,,,,,,,,,
HG00312,HG00312,FIN,Finnish in Finland,male,,,,,,,,,,
HG00313,HG00313,FIN,Finnish in Finland,female,,,,,,,,,,
HG00315,HG00315,FIN,Finnish in Finland,female,,,,,,,,,,
HG00318,HG00318,FIN,Finnish in Finland,female,,,,,,,,,,
HG00319,HG00319,FIN,Finnish in Finland,female,,,,,,,,,,
HG00320,HG00320,FIN,Finnish in Finland,female,,,,,,,,,,
HG00321,HG00321,FIN,Finnish in Finland,male,,,,,,,,,,
HG00323,HG00323,FIN,Finnish in Finland,female,,,,,,,,,,
HG00324,HG00324,FIN,Finnish in Finland,female,,,,,,,,,,
HG00325,HG00325,FIN,Finnish in Finland,male,,,,,,,,,,
HG00326,HG00326,FIN,Finnish in Finland,female,,,,,,,,,,
HG00327,HG00327,FIN,Finnish in Finland,female,,,,,,,,,,
HG00328,HG00328,FIN,Finnish in Finland,female,,,,,,,,,,
HG00329,HG00329,FIN,Finnish in Finland,male,,,,,,,,,,
HG00330,HG00330,FIN,Finnish in Finland,female,,,,,,,,,,
HG00331,HG00331,FIN,Finnish in Finland,female,,,,,,,,,,
HG00332,HG00332,FIN,Finnish in Finland,female,,,,,,,,,,
HG00334,HG00334,FIN,Finnish in Finland,female,,,,,,,,,,
HG00335,HG00335,FIN,Finnish in Finland,male,,,,,,,,,,
HG00336,HG00336,FIN,Finnish in Finland,male,,,,,,,,,,
HG00337,HG00337,FIN,Finnish in Finland,female,,,,,,,,,,
HG00338,HG00338,FIN,Finnish in Finland,male,,,,,,,,,,
HG00339,HG00339,FIN,Finnish in Finland,female,,,,,,,,,,
HG00341,HG00341,FIN,Finnish in Finland,male,,,,,,,,,,
HG00342,HG00342,FIN,Finnish in Finland,male,,,,,,,,,,
HG00343,HG00343,FIN,Finnish in Finland,female,,,,,,,,,,
HG00344,HG00344,FIN,Finnish in Finland,female,,,,,,,,,,
HG00345,HG00345,FIN,Finnish in Finland,male,,,,,,,,,,
HG00346,HG00346,FIN,Finnish in Finland,female,,,,,,,,,,
HG00349,HG00349,FIN,Finnish in Finland,female,,,,,,,,,,
HG00350,HG00350,FIN,Finnish in Finland,female,,,,,,,,,,
HG00351,HG00351,FIN,Finnish in Finland,male,,,,,,,,,,
HG00353,HG00353,FIN,Finnish in Finland,female,,,,,,,,,,
HG00355,HG00355,FIN,Finnish in Finland,female,,,,,,,,,,
HG00356,HG00356,FIN,Finnish in Finland,female,,,,,,,,,,
HG00357,HG00357,FIN,Finnish in Finland,female,,,,,,,,,,
HG00358,HG00358,FIN,Finnish in Finland,male,,,,,,,,,,
HG00359,HG00359,FIN,Finnish in Finland,female,,,,,,,,,,
HG00360,HG00360,FIN,Finnish in Finland,male,,,,,,,,,,
HG00361,HG00361,FIN,Finnish in Finland,female,,,,,,,,,,
HG00362,HG00362,FIN,Finnish in Finland,female,,,,,,,,,,
HG00364,HG00364,FIN,Finnish in Finland,female,,,,,,,,,,
HG00365,HG00365,FIN,Finnish in Finland,female,,,,,,,,,,
HG00366,HG00366,FIN,Finnish in Finland,male,,,,,,,,,,
HG00367,HG00367,FIN,Finnish in Finland,female,,,,,,,,,,
HG00368,HG00368,FIN,Finnish in Finland,female,,,,,,,,,,
HG00369,HG00369,FIN,Finnish in Finland,male,,,,,,,,,,
HG00371,HG00371,FIN,Finnish in Finland,male,,,,,,,,,,
HG00372,HG00372,FIN,Finnish in Finland,male,,,,,,,,,,
HG00373,HG00373,FIN,Finnish in Finland,female,,,,,,,,,,
HG00375,HG00375,FIN,Finnish in Finland,male,,,,,,,,,,
HG00376,HG00376,FIN,Finnish in Finland,female,,,,,,,,,,
HG00377,HG00377,FIN,Finnish in Finland,female,,,,,,,,,,
HG00378,HG00378,FIN,Finnish in Finland,female,,,,,,,,,,
HG00379,HG00379,FIN,Finnish in Finland,female,,,,,,,,,,
HG00380,HG00380,FIN,Finnish in Finland,female,,,,,,,,,,
HG00381,HG00381,FIN,Finnish in Finland,female,,,,,,,,,,
HG00382,HG00382,FIN,Finnish in Finland,male,,,,,,,,,,
HG00383,HG00383,FIN,Finnish in Finland,female,,,,,,,,,,
HG00384,HG00384,FIN,Finnish in Finland,female,,,,,,,,,,
HG00403,SH001,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00404,SH001,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00405,SH001,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00406,SH002,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00407,SH002,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00408,SH002,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00409,SH003,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00410,SH003,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00411,SH003,CHS,"Southern Han Chinese, China",male,child,,,,,,,,,
HG00418,SH006,CHS,"Southern Han Chinese, China",male,father,,,,,,,HG00427,,
HG00419,SH006,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00420,SH006,CHS,"Southern Han Chinese, China",male,child,,,,,,,,,
HG00421,SH007,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00422,SH007,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00423,SH007,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00427,SH009,CHS,"Southern Han Chinese, China",male,father,,,,,,,HG00418,,
HG00428,SH009,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00429,SH009,CHS,"Southern Han Chinese, China",male,child,,,,,,,,,
HG00436,SH012,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00437,SH012,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00438,SH012,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00442,SH014,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00443,SH014,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00444,SH014,CHS,"Southern Han Chinese, China",male,child,,,,,,,,,
HG00445,SH015,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00446,SH015,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00447,SH015,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00448,SH016,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00449,SH016,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00450,SH016,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
HG00451,SH017,CHS,"Southern Han Chinese, China",male,father,,,,,,,,,
HG00452,SH017,CHS,"Southern Han Chinese, China",female,mother,,,,,,,,,
HG00453,SH017,CHS,"Southern Han Chinese, China",female,child,,,,,,,,,
